NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J1322-6329,kbm+03 ,0.36176709061,7,kbm+03 ,-0.18,-9.97,1.16,2003,,26.05
J1324-6146,kbm+03 ,1.1846817214,5,kbm+03 ,0.37,-20.00,-6.49,2003,,456.25
J1324-6302,kbm+03 ,0.402608307097,17,kbm+03 ,-0.08,-9.38,1.52,2003,,31.43
B1323-58,mlt+78 ,2.09209018261,14,dmk+93 ,0.19,-2.38,6.68,1978,1080.00,162.00
B1323-63,mlt+78 ,1.2615588639,8,nmc81 ,-0.32,-9.60,1.33,1978,2587.68,273.14
B1322-66,mlt+78 ,1.8415915297,17,nmc81 ,-0.51,-5.42,4.52,1978,1271.97,617.82
J1327-0755,blr+13 ,373.42370426279,3,blr+13 ,20.19,-9.80,-2.53,2013,,
B1323-62,kac+73 ,1.88710153834,4,dmk+93 ,0.01,-3.19,6.09,1973,2160.00,336.00
B1323-627,jlm+92 ,5.08961115019,8,jml+95 ,-0.05,-4.97,4.76,1992,,162.49
J1327-6400,mlc+01 ,3.56280182998,16,mlc+01 ,-0.32,-10.39,0.72,2001,,35.38
B1325-43,mlt+78 ,1.8772334266,5,nmc81 ,0.45,-1.03,7.64,1978,36.30,8.87
B1325-49,mlt+78 ,0.67625992957,19,nmc81 ,1.90,-6.35,3.34,1978,776.16,
J1329+13,ttm+18 ,,0,,1.05,-0.11,8.22,2018,,
J1329-6158,kbm+03 ,0.6388886552,4,kbm+03 ,0.12,-9.44,1.30,2003,,31.00
J1331-5245,kjv+10 ,1.5429321319,5,bbb+12 ,1.50,-6.84,2.96,2010,,23.92
J1332-03,kkl+15 ,0.90383,5,kkl+15 ,21.18,-8.13,-2.00,2015,,
J1332-3032,lml+98 ,1.53743384519,4,hlk+04 ,0.46,-0.55,7.98,1998,6.97,0.23
J1333-4449,jbo+09 ,2.89349383178,3,jbo+09 ,0.43,-1.03,7.61,2009,,0.61
J1334-5839,mld+96 ,9.283480899007,18,dsb+98 ,0.16,-1.94,6.95,1996,111.60,3.84
J1335-3642,mld+96 ,2.505060,19,mld+96 ,1.06,-1.65,6.98,1996,61.50,
J1336-2522,kmk+18 ,2.09141367214,3,kmk+18 ,3.25,-3.08,5.36,2018,,
J1336+33,ttm+18 ,,0,,0.71,0.14,8.45,2018,,
J1337-44,kbj+18 ,0.79522,6,kbj+18 ,7.48,-17.89,-7.28,2018,,
J1337-6306,hfs+04 ,4.80877862491,8,hfs+04 ,-0.16,-10.17,0.52,2004,,18.39
J1337-6423,kjb+12 ,106.11873496995,19,nbb+14 ,-0.20,-4.69,4.85,2012,,10.23
B1334-61,jlm+92 ,0.80710929209,3,jml+95 ,0.07,-9.70,0.82,1992,,902.80
J1339-4712,jbo+09 ,7.29635909556,3,jbo+09 ,0.31,-0.88,7.73,2009,,1.02
J1339-6618,kbm+03 ,1.79153927781,17,kbm+03 ,-0.50,-5.78,4.02,2003,,12.36
B1336-64,mlt+78 ,2.6411561530,3,nmc81 ,-0.06,-1.10,7.64,1978,17.64,1.76
J1341-6023,mlc+01 ,1.59417077842,4,mlc+01 ,0.24,-5.65,3.92,2001,,33.39
B1338-62,mdt85 ,5.1722422270,5,wmp+00 ,-0.01,-9.83,0.62,1985,,428.65
J1342+2822A,hrs+07 ,392.93,16,hrs+07 ,9.71,1.30,7.06,2007,,0.69
J1342+2822B,hrs+07 ,418.51147259915,18,hrs+07 ,9.71,1.30,7.06,2007,,1.37
J1342+2822C,hrs+07 ,461.7,3,hrs+07 ,9.71,1.30,7.06,2007,,0.59
J1342+2822D,hrs+07 ,183.7230504,20,hrs+07 ,9.71,1.30,7.06,2007,,0.98
J1344-6059,kbm+03 ,1.8515010219,3,kbm+03 ,0.16,-5.74,3.80,2003,,10.46
J1345-6115,mlc+01 ,0.79803072187,11,mlc+01 ,0.09,-4.30,4.96,2001,,18.30
J1346-4918,bbb+12 ,3.337504025,3,bbb+12 ,0.55,-1.83,6.85,2012,,3.20
J1347-5947,mlc+01 ,1.63944705212,4,mlc+01 ,0.25,-4.82,4.47,2001,,26.51
J1348-6307,mlc+01 ,1.0778507462,3,mlc+01 ,-0.18,-8.23,1.75,2001,,57.74
J1349-6130,mlc+01 ,3.85560214642,13,mlc+01 ,0.06,-4.22,4.99,2001,,22.91
J1349-63,ncb+15 ,2.6807208,8,ncb+15 ,-0.29,-7.19,2.63,2015,,
J1350-5115,lml+98 ,3.3818153047,4,dsb+98 ,0.60,-2.40,6.32,1998,98.01,
J1350-6225,cwp+17 ,7.23810134280,6,cwp+17 ,-0.00,-0.00,8.50,2017,,
J1352-6803,ebvb01 ,1.59007147571,5,ebvb01 ,-1.01,-7.70,2.35,2001,,98.21
J1354-6249,kbm+03 ,0.3387604641,4,kbm+03 ,-0.07,-3.95,5.18,2003,,6.39
B1352-51,mlt+78 ,1.55206937543,20,nmc81 ,0.84,-3.59,5.16,1978,297.60,
J1355-5747,lfl+06 ,0.49051495513,8,lfl+06 ,0.45,-4.82,4.25,2006,,14.93
J1355-5925,kbm+03 ,0.82414329311,4,kbm+03 ,0.31,-5.43,3.77,2003,,28.59
J1355-6206,kbm+03 ,3.61528921957,14,kbm+03 ,-0.02,-5.75,3.62,2003,,30.70
J1356-5521,mld+96 ,1.97091106075,3,dsb+98 ,0.81,-5.39,3.61,1996,642.99,48.22
B1353-62,kac+73 ,2.194132,5,jlm+92 ,-0.06,-4.93,4.29,1973,,554.27
J1357-6429,lfl+06 ,6.0201677725,5,lfl+06 ,-0.14,-2.38,6.51,2006,,5.00
J1358-2533,mld+96 ,1.0953250,12,dsb+98 ,1.46,-1.30,6.86,1996,39.01,
B1356-60,mlt+78 ,7.8430894674,19,nmc81 ,0.10,-3.76,5.20,1978,2625.00,312.50
J1400-1431,rsm+13 ,324.229691976320,9,skm+17 ,0.20,-0.11,8.34,2013,,0.01
J1400-6325,rmg+10 ,32.0701941,4,rmg+10 ,-0.19,-5.31,3.95,2010,,12.25
B1358-63,mlt+78 ,1.186535716141,20,smd93 ,-0.07,-1.37,7.33,1978,110.16,23.00
B1359-51,vl70 ,0.724545,3,mlt+78 ,0.19,-0.76,7.76,1970,11.66,
J1403-6310,kbm+03 ,2.5051971760,4,kbm+03 ,-0.14,-4.28,4.79,2003,,20.90
J1403-7646,lml+98 ,0.7655808261,5,ebvb01 ,-1.33,-4.09,5.41,1998,112.36,22.47
J1404+1159,cha03 ,0.377296025592,4,bfrs18 ,2.01,-0.07,7.66,2003,14.26,0.13
J1405-42,kbj+18 ,0.426112,8,kbj+18 ,1.15,-2.36,5.95,2018,,
J1405-4656,btb+15 ,131.54081035554,18,btb+15 ,0.16,-0.45,8.03,2015,,0.41
J1405-5641,lfl+06 ,1.61923735551,9,lfl+06 ,1.02,-9.04,0.08,2006,,15.38
J1406-5806,kbm+03 ,3.4680167191,7,kbm+03 ,0.33,-4.09,4.73,2003,,26.06
J1406-6121,mlc+01 ,4.6931907774,3,mlc+01 ,0.03,-5.44,3.63,2001,,23.45
J1407-6048,mlc+01 ,2.03109935390,20,mlc+01 ,0.09,-5.83,3.23,2001,,12.36
J1407-6153,mlc+01 ,1.4252832000,6,mlc+01 ,-0.05,-6.11,3.03,2001,,24.21
J1409-6953,bbb+12 ,1.8918226336,11,bbb+12 ,-1.22,-6.68,2.98,2012,,22.97
J1410-6132,ojk+08 ,19.979243,0,ojk+08 ,-0.02,-10.01,-0.57,2008,,346.79
J1410-7404,eb01b ,3.587708521163,20,eb01b ,-0.28,-1.03,7.69,2001,,2.15
J1411+2551,msf+17 ,16.0120678426887,6,msf+17 ,1.08,0.19,8.21,2017,,
J1412-6111,mlc+01 ,1.88980045187,13,mlc+01 ,0.01,-3.89,4.93,2001,,12.27
J1412-6145,mlc+01 ,3.17233751475,12,mlc+01 ,-0.05,-5.26,3.71,2001,,34.98
J1412+7922,zhi+11 ,16.8924019751,20,zhi+11 ,0.00,0.00,8.50,2011,,
J1413-6141,kbm+03 ,3.5010987476,20,kbm+03 ,-0.05,-6.26,2.77,2003,,59.11
J1413-6205,sdz+10 ,9.112389504,2,sdz+10 ,-0.03,-1.59,7.05,2010,,
J1413-6222,mlc+01 ,3.4198825526,3,mlc+01 ,-0.23,-9.69,-0.30,2001,,164.49
B1409-62,jlm+92 ,2.531993056604,13,jml+95 ,-0.09,-2.26,6.46,1992,,11.09
J1414-6802,ebvb01 ,0.215973948926,19,ebvb01 ,-0.61,-4.09,5.00,2001,,
J1415-6621,ebvb01 ,2.5479071964,3,hfs+04 ,-0.88,-7.83,1.64,2001,,54.60
J1416-5033,bbb+12 ,1.258047500,4,bbb+12 ,0.25,-0.96,7.49,2012,,0.20
J1416-6037,mlc+01 ,3.3831733187,3,mlc+01 ,0.05,-3.70,5.02,2001,,18.06
J1417-4402,crr+16 ,375.34494,6,crr+16 ,1.22,-2.78,5.32,2016,,
J1418-3921,mld+96 ,0.911738262646,17,dsb+98 ,1.43,-2.41,5.54,1996,399.51,16.65
J1418-5945,kbm+03 ,0.59787312095,11,kbm+03 ,0.14,-4.44,4.26,2003,,6.79
J1418-6058,aaa+09c ,9.043798163,1,rkp+11 ,0.00,-1.37,7.21,2009,,
B1417-54,mlt+78 ,1.0686364662,4,nmc81 ,0.49,-3.05,5.37,1978,174.24,
J1420-5625,hfs+04 ,29.31078830923,10,hfs+04 ,0.10,-0.94,7.56,2004,,0.23
J1420-6048,dkm+01 ,14.667084337,5,dkm+01 ,0.02,-4.08,4.62,2001,,37.72
J1421-4409,kbj+18 ,156.5991956978,8,kbj+18 ,0.57,-1.30,6.98,2018,,6.06
J1422-6138,pga+13 ,2.932827817,1,pga+13 ,-0.00,-0.00,8.50,2013,,
J1423-6953,ebvb01 ,2.99930377007,3,jbo+09 ,-0.69,-3.52,5.47,2001,,
J1424-5556,hfs+04 ,1.29806938188,3,hfs+04 ,0.50,-4.31,4.08,2004,,14.61
J1424-56,kle+10 ,0.700771,0,kkl+11 ,0.06,-0.66,7.82,2010,,
J1424-5822,kbm+03 ,2.72677154505,5,kbm+03 ,0.27,-4.74,3.77,2003,,58.36
J1424-6438,kbm+03 ,0.97703603890,9,kbm+03 ,-0.38,-4.46,4.38,2003,,8.87
J1425-5723,kbm+03 ,2.8307527983,7,kbm+03 ,0.06,-0.74,7.75,2003,,0.27
J1425-5759,kbm+03 ,1.41269354871,8,kbm+03 ,0.35,-5.37,3.09,2003,,5.24
J1425-6210,mlc+01 ,1.9931026297,3,mlc+01 ,-0.15,-4.96,3.77,2001,,8.92
J1427-4158,jbo+09 ,1.70507182893,6,jbo+09 ,1.36,-2.71,5.10,2009,,6.24
B1424-55,mlt+78 ,1.75349241329,3,smd93 ,0.16,-1.31,7.13,1978,126.35,23.46
J1429-5911,sdz+10 ,8.632402182,2,sdz+10 ,0.04,-1.38,7.11,2010,,
J1429-5935,mlc+01 ,1.30904645391,12,mlc+01 ,0.13,-5.43,3.06,2001,,6.50
B1426-66,lvw68 ,1.273170497807,13,smd93 ,-0.13,-0.97,7.60,1968,229.96,28.83
J1431-4715,btb+15 ,497.0293938516,3,btb+15 ,0.39,-1.14,7.14,2015,,2.42
J1431-5740,bbb+13 ,243.27680485062,8,bbb+13 ,0.16,-2.47,5.95,2013,,4.42
J1432-5032,kjv+10 ,0.49140303192,8,bbb+12 ,0.84,-3.42,4.57,2010,,8.36
J1433+00,dsm+16 ,,0,,2.41,-0.31,6.76,2016,,
J1433-6038,kel+09 ,0.51165822598,14,kel+09 ,-0.02,-4.39,4.09,2009,,8.90
J1434-6006,kbm+03 ,3.2640499276,5,kbm+03 ,0.02,-3.72,4.73,2003,,6.74
J1434-6029,mlc+01 ,1.03804613136,17,mlc+01 ,-0.01,-3.38,5.08,2001,,3.24
J1434+7257,slr+14 ,23.957175395244,18,slr+14 ,0.65,0.66,8.78,2014,1.22,
J1435-5954,hfs+04 ,2.11418530691,7,hfs+04 ,0.01,-0.74,7.74,2004,,1.80
J1435-6100,clm+01 ,106.97507197376,8,clm+01 ,-0.03,-1.98,6.51,2001,,1.97
J1437-5959,cng+09 ,16.2084738041,3,cng+09 ,0.03,-5.96,2.37,2009,,5.48
J1437-6146,hfs+04 ,2.1385053298,3,hfs+04 ,-0.11,-3.00,5.49,2004,,4.33
J1439-5501,fsk+04 ,34.922434246953,14,lfl+06 ,0.05,-0.43,8.02,2004,,0.18
J1439+76,kkl+15 ,1.054960,3,kkl+15 ,1.28,1.45,9.19,2015,,
B1436-63,mlt+78 ,2.17577965501,15,nmc81 ,-0.20,-2.45,6.08,1978,249.95,9.28
J1441-6137,kbm+03 ,0.85045582777,8,kbm+03 ,-0.10,-2.71,5.73,2003,,2.26
J1443-5122,kjv+10 ,1.3660058908,10,bbb+12 ,0.40,-1.89,6.23,2010,,5.33
J1444-5941,mlc+01 ,0.36228891961,7,mlc+01 ,0.01,-2.63,5.70,2001,,6.19
J1444-6026,mll+06 ,0.210146920172,9,mlk+09 ,-0.06,-4.01,4.29,2006,,
J1446-4701,kjb+12 ,455.644016442381,13,nbb+14 ,0.31,-0.94,7.28,2012,,0.99
J1449-5846,kbm+03 ,2.15829087809,9,kbm+03 ,0.05,-2.81,5.41,2003,,4.87
J1452-5851,mlc+01 ,2.58648549575,20,mlc+01 ,0.03,-3.01,5.15,2001,,6.68
J1452-6036,kbm+03 ,6.45197263532,4,kbm+03 ,-0.13,-4.16,3.99,2003,,71.63
J1453+1902,lmcs07 ,172.642909932901,6,abb+18 ,1.11,0.25,7.93,2007,3.55,
B1449-64,lvw69a ,5.57150386266,4,smd93 ,-0.22,-1.95,6.50,1969,1803.20,141.12
J1454-5846,clm+01 ,22.10004678013,5,clm+01 ,0.02,-1.98,6.28,2001,,2.13
J1455-3330,lnl+95 ,125.2002451766051,5,abb+18 ,0.39,-0.46,7.69,1995,9.18,1.22
J1455-59,kek+13 ,5.675652,7,kek+13 ,-0.02,-4.47,3.52,2013,,71.61
J1456-48,bcm+15 ,1.862857,0,bcm+15 ,1.60,-5.47,1.10,2015,,
B1451-68,lvw68 ,3.79684142055,3,smd93 ,-0.06,-0.31,8.21,1968,64.72,11.87
B1454-51,mlt+78 ,0.5719838599,3,nmc81 ,0.12,-0.60,7.72,1978,3.92,
J1457-5900,kbm+03 ,0.66727280091,18,kbm+03 ,-0.00,-2.48,5.70,2003,,3.36
J1457-5902,kbm+03 ,2.5592507223,4,kbm+03 ,-0.00,-4.22,3.73,2003,,10.55
J1459-6053,aaa+09c ,9.694559498,1,rkp+11 ,-0.06,-1.23,7.14,2009,,
J1501-0046,lbr+13 ,2.15500143520,4,lbr+13 ,1.58,-0.08,7.08,2013,,
J1501-5637,kbm+03 ,1.2772231067,5,kbm+03 ,0.16,-3.16,4.71,2003,,5.12
J1502-5653,hfs+04 ,1.867398296125,8,hfs+04 ,0.10,-2.53,5.46,2004,,6.12
J1502-5828,kbm+03 ,1.4967703791,4,kbm+03 ,0.02,-4.61,3.12,2003,,25.13
J1502-6128,kbm+03 ,1.18750200688,5,kbm+03 ,-0.22,-3.47,4.65,2003,,15.08
J1502-6752,kjb+12 ,37.39097199147,8,nbb+14 ,-1.09,-5.44,3.10,2012,,41.34
J1503+2111,clm+05 ,0.301750014184,11,clm+05 ,0.21,0.06,8.39,2005,0.07,
J1504-5621,kbm+03 ,2.42139427868,18,kbm+03 ,0.11,-2.21,5.80,2003,,2.92
B1503-51,mlt+78 ,1.189430419,5,nmc81 ,0.13,-0.83,7.40,1978,9.52,
B1504-43,mlt+78 ,3.4872726465,4,nmc81 ,0.30,-0.73,7.36,1978,30.91,1.74
B1503-66,mlt+78 ,2.8117143802,5,nmc81 ,-0.61,-3.31,5.09,1978,298.27,13.77
B1508+55,htg+68 ,1.351932457770,7,hlk+04 ,1.66,1.28,8.53,1968,502.74,35.28
J1509-5850,kbm+03 ,11.2458412260,4,kbm+03 ,-0.04,-2.17,5.92,2003,,2.38
J1509-6015,kbm+03 ,2.9495179790,4,kbm+03 ,-0.35,-7.23,0.11,2003,,20.87
B1507-44,mlt+78 ,1.0594664788,13,nmc81 ,0.84,-2.17,5.09,1978,238.80,
J1511-5414,kbm+03 ,4.99042596953,5,kbm+03 ,0.13,-1.47,6.57,2003,,4.43
J1511-5835,kbm+03 ,3.3166335305,5,kbm+03 ,-0.05,-3.29,4.54,2003,,13.26
J1512-5431,kbm+03 ,0.49006837858,8,kbm+03 ,0.26,-3.11,4.44,2003,,9.96
B1508-57,jlm+92 ,7.77036106194,13,jml+95 ,-0.01,-4.33,3.20,1992,,364.93
J1513-5739,mlc+01 ,1.02726564911,9,mlc+01 ,0.01,-3.70,3.92,2001,,26.71
B1509-58,sh82 ,6.611515243850,3,lk11 ,-0.09,-2.81,5.11,1982,29.04,27.68
J1513-5946,kle+10 ,0.955915877647,8,kkl+11 ,-0.11,-2.42,5.62,2010,,
B1510-48,mlt+78 ,2.1985791443,5,nmc81 ,0.17,-0.69,7.48,1978,13.07,2.00
J1514-4946,kcj+12 ,278.60300920296,5,ckr+15 ,0.11,-0.52,7.76,2012,,0.14
J1514-5925,kbm+03 ,6.7205887177,3,kbm+03 ,-0.10,-2.50,5.49,2003,,4.46
J1515-5720,kbm+03 ,3.4886212069,5,kbm+03 ,0.03,-3.79,3.76,2003,,9.21
J1517-4356,ebvb01 ,1.536483323508,15,ebvb01 ,0.89,-2.27,4.75,2001,,9.99
J1517-4636,kjv+10 ,1.12788845583,7,bbb+12 ,1.23,-4.08,2.11,2010,,17.69
B1516+02A,wakp89 ,180.06362469727,7,awkp97 ,6.20,0.39,2.69,1989,,8.67
B1516+02B,wakp89 ,125.8345875540,4,awkp97 ,6.20,0.39,2.70,1989,36.12,1.81
J1518+0204C,hrs+07 ,402.58822840843,9,prf+14 ,5.83,0.37,3.04,2007,,2.50
J1518+0204D,hrs+07 ,334.67,12,hrs+07 ,5.83,0.37,3.04,2007,,0.51
J1518+0204E,hrs+07 ,314.27,10,hrs+07 ,5.83,0.37,3.04,2007,,0.64
J1518-0627,lbr+13 ,1.257866896790,13,lbr+13 ,1.76,-0.17,6.48,2013,,
J1518+4904,nst96 ,24.4289793809236,3,jsk+08 ,0.78,0.55,8.41,1996,7.37,3.69
J1518-5415,kel+09 ,4.65279017907,13,kel+09 ,0.18,-2.25,5.48,2009,,1.14
J1519-5734,lfl+06 ,1.92768191516,8,lfl+06 ,-0.03,-4.24,3.12,2006,,21.12
J1519-6106,lfl+06 ,0.46418638191,3,lfl+06 ,-0.28,-3.25,4.64,2006,,4.85
J1519-6308,hfs+04 ,0.79741533413,6,hfs+04 ,-1.06,-8.13,-0.77,2004,,49.04
J1522-5525,kbm+03 ,0.7196291211,9,kbm+03 ,0.05,-1.20,6.90,2003,,1.00
J1522-5735,pga+13 ,9.790868913,3,pga+13 ,-0.00,-0.00,8.50,2013,,
B1518-58,jlm+92 ,2.529386028092,20,jml+95 ,-0.08,-2.41,5.46,1992,,90.33
J1524-5625,kbm+03 ,12.7846912824,9,kbm+03 ,0.02,-2.03,5.80,2003,,14.62
J1524-5706,kbm+03 ,0.89601831205,7,kbm+03 ,-0.02,-4.52,2.59,2003,,24.91
J1524-5819,kel+09 ,1.04053657139,11,kel+09 ,-0.16,-4.65,2.57,2009,,5.12
J1525-5417,kbm+03 ,0.98844095625,7,kbm+03 ,0.18,-2.85,4.54,2003,,4.29
J1525-5523,ncb+15 ,2.815663809202,13,ncb+15 ,0.06,-1.85,5.98,2015,,2.06
J1525-5545,nbb+14 ,88.02908501431,14,nbb+14 ,0.05,-1.87,5.98,2014,,3.25
J1525-5605,kbm+03 ,3.5669868822,6,kbm+03 ,0.05,-3.05,4.40,2003,,6.53
J1526-5633,kbm+03 ,3.3124878843,6,kbm+03 ,0.01,-2.87,4.67,2003,,2.52
B1524-39,mlt+78 ,0.41363638887,16,nmc81 ,0.41,-0.75,7.02,1978,32.17,
B1523-55,mlt+78 ,0.9535571091,6,nmc81 ,0.05,-3.15,4.22,1978,481.14,23.77
J1528-3146,jbo+07 ,16.441356954875,3,jbo+07 ,0.27,-0.27,7.83,2007,,0.24
J1528-4109,ebvb01 ,1.899132733754,15,ebvb01 ,1.20,-2.49,3.80,2001,,17.82
J1528-5547,ncb+15 ,0.28840872220,15,ncb+15 ,0.05,-2.64,4.89,2015,,1.40
J1528-5838,cwp+17 ,2.81146362521,6,cwp+17 ,-0.00,-0.00,8.50,2017,,
J1529-3828,nbb+14 ,117.8372326493,7,nbb+14 ,1.09,-1.83,4.77,2014,,2.96
J1529-5355,kbm+03 ,1.1220013310,6,kbm+03 ,0.22,-3.58,3.39,2003,,14.41
J1529-5611,kbm+03 ,1.2161770060,8,kbm+03 ,0.01,-1.97,5.83,2003,,1.54
J1530-5327,mlc+01 ,3.58478546733,18,mlc+01 ,0.05,-0.64,7.58,2001,,1.15
J1530-63,bbb+12 ,1.098539,0,bbb+12 ,-1.23,-7.46,-0.23,2012,,66.70
J1531-4012,ebvb01 ,2.80230328034,5,ebvb01 ,2.16,-4.19,0.23,2001,,36.25
J1531-5610,kbm+03 ,11.87624719282,12,kbm+03 ,0.00,-1.67,6.21,2003,,7.02
B1530+27,dth78 ,0.889018691334,5,hlk+04 ,1.07,0.53,7.94,1978,22.65,1.39
J1532-5308,kbm+03 ,2.2531423028,3,kbm+03 ,0.16,-2.15,5.34,2003,,3.65
J1532-56,ncb+15 ,1.9121296646,5,ncb+15 ,-0.02,-2.62,4.92,2015,,1.97
J1534-4428,bbb+12 ,0.8187152015,3,bbb+12 ,1.55,-4.59,0.17,2012,,65.05
J1534-46,bb10 ,2.74097,7,bb10 ,0.28,-1.01,6.75,2010,,
B1530-53,lvw68 ,0.730523738969,11,smd93 ,0.03,-0.46,7.83,1968,45.93,4.46
B1530-539,jlm+92 ,3.45197905950,8,jml+95 ,0.10,-2.13,5.41,1992,,19.69
J1535-4114,ebvb01 ,2.31018303769,4,ebvb01 ,0.57,-1.22,6.08,2001,,22.25
J1535-4415,ebvb01 ,2.13492010059,14,jbo+09 ,0.94,-2.74,3.46,2001,,
J1535-5450,kbm+03 ,1.76449573075,13,kbm+03 ,0.05,-2.25,5.26,2003,,2.65
J1535-5848,kbm+03 ,3.25544504430,8,kbm+03 ,-0.12,-1.79,6.14,2003,,3.09
J1536-3602,jbo+09 ,0.75771407384,3,jbo+09 ,3.83,-5.37,-3.89,2009,,374.53
J1536-4948,rap+12 ,324.675325,0,rap+12 ,0.08,-0.52,7.67,2012,,
J1536-5433,mlc+01 ,1.1345091894,3,mlc+01 ,0.06,-1.88,5.78,2001,,19.72
J1536-5907,kel+09 ,1.79262658883,10,kel+09 ,-0.39,-4.92,2.04,2009,,14.54
B1534+12,wol91a ,26.38213277689397,11,fst14 ,0.79,0.24,7.84,1991,39.77,0.66
J1537-4912,ebvb01 ,3.3188325218,9,jbo+09 ,0.19,-1.06,6.76,2001,,1.30
J1537-5153,kbm+03 ,0.65439711100,6,kbm+03 ,0.15,-1.49,6.20,2003,,0.53
J1537-5645,mlc+01 ,2.3230739673,8,mlc+01 ,-0.14,-4.94,1.63,2001,,71.57
J1538+2345,kkl+15 ,0.289906755417,8,kkl+15 ,1.04,0.48,7.86,2015,,
J1538-5438,mlc+01 ,3.6136810563,6,mlc+01 ,0.04,-1.79,5.87,2001,,2.43
J1538-5519,kel+09 ,2.5269713831,6,kel+09 ,0.01,-3.39,3.62,2009,,14.82
J1538-5551,hfs+04 ,9.5533867323,3,hfs+04 ,-0.03,-3.44,3.60,2004,,11.84
J1538-5621,ncb+15 ,0.523973217890,6,ncb+15 ,-0.04,-1.92,5.80,2015,,1.53
J1538-5638,kbm+03 ,1.18486164335,20,kbm+03 ,-0.11,-4.10,2.78,2003,,13.88
J1538-5732,lfl+06 ,2.93072230995,5,lfl+06 ,-0.10,-2.02,5.73,2006,,4.12
J1538-5750,kbm+03 ,1.97406732779,8,kbm+03 ,-0.08,-1.49,6.47,2003,,0.38
J1539-4828,ekl09 ,0.78564371260,9,eklk13 ,0.33,-1.75,5.53,2009,,2.39
J1539-5521,kbm+03 ,0.99506614549,8,kbm+03 ,0.01,-2.80,4.47,2003,,3.38
B1535-56,jlm+92 ,4.1085950920,4,jml+95 ,-0.05,-2.05,5.61,1992,,62.66
J1539-6322,ebvb01 ,0.613178565100,12,jbo+09 ,-0.79,-4.49,3.06,2001,,
J1540-5736,mlc+01 ,1.63154418204,19,mlc+01 ,-0.21,-3.72,3.36,2001,,9.68
J1541-42,bbj+11 ,,0,,0.37,-0.93,6.64,2011,,
J1541-5535,kbm+03 ,3.3802334705,11,kbm+03 ,-0.03,-2.93,4.25,2003,,7.99
J1542-5034,mld+96 ,1.6687664299,3,dsb+98 ,0.17,-1.42,6.18,1996,156.51,2.24
J1542-5133,hfs+04 ,0.56058054107,9,hfs+04 ,0.20,-2.15,5.06,2004,,4.45
J1542-5303,kbm+03 ,0.82811087607,5,kbm+03 ,0.15,-2.92,3.99,2003,,10.09
B1540-06,mlt+78 ,1.410309790908,7,hlk+04 ,0.67,0.01,7.60,1978,50.18,2.51
B1541+09,ls69 ,1.336097422770,10,hlk+04 ,4.23,1.26,4.58,1969,2715.18,205.38
J1543-5013,kbm+03 ,1.5521802701,15,kbm+03 ,0.38,-2.99,3.54,2003,,5.72
J1543-5149,kjb+12 ,486.15423208300,13,nbb+14 ,0.05,-0.61,7.53,2012,,0.73
J1543-5459,mlc+01 ,2.65168596585,18,mlc+01 ,-0.00,-2.60,4.64,2001,,17.59
J1544+4937,brr+13 ,463.11553585462,1,brr+13 ,2.30,1.88,8.14,2013,48.28,
B1541-52,mlt+78 ,5.6005528964,5,nmc81 ,0.02,-0.50,7.72,1978,19.89,4.32
J1545-4550,bbb+13 ,279.697699013306,10,bbb+13 ,0.27,-1.05,6.53,2013,,3.81
J1546-3747A,lr11 ,383.778121483,15,lr11 ,1.48,-2.45,2.72,2011,,
J1546-5302,kbm+03 ,1.72164485230,12,kbm+03 ,0.12,-2.87,4.01,2003,,9.09
J1546-59,mlb+12 ,128.205128,0,mlb+12 ,-0.23,-2.29,5.37,2012,,3.03
J1547-0944,lbr+13 ,0.634145715724,18,lbr+13 ,2.08,-0.09,5.37,2013,,
J1547-5750,hfs+04 ,1.54512280855,13,hfs+04 ,-0.16,-2.00,5.68,2004,,2.75
J1547-5839,kbm+03 ,4.12898411647,18,kbm+03 ,-0.32,-3.32,3.90,2003,,13.23
J1548-4821,kbm+03 ,6.8655516528,15,kbm+03 ,0.29,-1.68,5.51,2003,,6.04
J1548-4927,kbm+03 ,1.65909544625,6,kbm+03 ,0.24,-1.76,5.46,2003,,8.55
J1548-5607,mlc+01 ,5.85021144264,17,mlc+01 ,-0.14,-3.20,3.78,2001,,45.16
J1549+2113,fcwa95 ,0.792097207122,4,lxf+05 ,2.29,1.13,6.87,1995,8.26,
J1549-4848,mld+96 ,3.46804656023,3,dsb+98 ,0.10,-0.64,7.36,1996,29.17,2.75
J1549-57,bbj+11 ,1.3559,6,bbj+11 ,-0.03,-0.40,7.93,2011,,
J1549-5722,kbm+03 ,2.0089502995,4,kbm+03 ,-0.12,-1.63,6.15,2003,,0.82
J1550-5242,kbm+03 ,1.33393992104,8,kbm+03 ,0.12,-2.98,3.70,2003,,10.22
J1550-5317,kbm+03 ,0.70366819287,7,kbm+03 ,0.09,-3.70,2.63,2003,,19.27
J1550-5418,crhr07 ,0.483130760,10,crhr07 ,-0.01,-2.16,5.14,2007,,52.80
J1551-0658,hrm+11 ,141.043724,0,hrm+11 ,0.75,0.03,7.42,2011,0.87,
J1551-4424,bbb+12 ,1.4835466642,5,bbb+12 ,0.29,-0.98,6.52,2012,,4.97
J1551-5310,hfs+04 ,2.20558639257,5,hfs+04 ,0.07,-3.11,3.51,2004,,24.89
