NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J0111-7131,mfl+06 ,1.45234525892,11,mfl+06 ,-42.59,-35.98,-12.84,2006,,213.85
J0112+66,slr+14 ,0.23249,4,slr+14 ,0.15,1.98,9.89,2014,79.65,
J0113-7220,ckm+01 ,3.06858581302,10,ckm+01 ,-41.98,-36.53,-13.12,2001,,1425.64
B0114+58,stwd85 ,9.85813488508,19,hlk+04 ,-0.11,1.42,9.55,1985,23.81,0.94
J0125+62,slr+14 ,0.58540,4,slr+14 ,-0.00,1.92,9.94,2014,19.58,
J0131-7310,mfl+06 ,2.87253929366,6,mfl+06 ,-41.21,-37.80,-12.41,2006,,534.61
J0133-6957,lml+98 ,2.157619537033,14,dsb+98 ,-1.78,-1.48,7.72,1998,29.77,
J0134-2937,mld+96 ,7.3013160129300,7,lwy+16 ,-24.64,-3.26,11.21,1996,5625.00,2437.50
J0136+63,slr+14 ,1.39296,6,slr+14 ,0.20,7.20,14.09,2014,274.48,
J0137+1654,lxf+05 ,2.411015293284,3,lxf+05 ,-2.15,1.45,10.13,2005,13.11,
J0139+33,ttm+18 ,,0,,-0.70,0.92,9.40,2018,,
J0139+5621,cvh+14 ,0.56327117338,3,cvh+14 ,-0.25,1.85,10.03,2014,4.07,0.12
B0136+57,dth78 ,3.67038973818,20,hlk+04 ,-0.18,2.01,10.14,1978,189.28,31.10
B0138+59,mth72 ,0.8176959072274,12,hlk+04 ,-0.08,1.78,9.95,1972,259.21,23.80
J0141+63,slr+14 ,21.4198,3,slr+14 ,0.12,6.86,13.96,2014,99.99,
J0146+31,ttol16 ,1.065984,0,ttol16 ,-0.92,1.09,9.65,2016,,
J0146+6145,ims94 ,0.115088121,5,dk14 ,-0.03,2.78,10.78,1994,,
B0144+59,stwd85 ,5.093688844679,4,ywml10 ,-0.08,1.21,9.52,1985,16.48,5.24
B0148-06,mlt+78 ,0.682750190448,3,hlk+04 ,-22.66,3.55,18.45,1978,23750.00,1000.00
J0152+0948,clm+05 ,0.364080238329,14,clm+05 ,-1.91,0.87,9.83,2005,5.60,
B0149-16,mlt+78 ,1.2008526831899,18,hlk+04 ,-0.88,0.00,8.78,1978,16.93,1.78
J0156+04,dsm+16 ,,0,,-20.52,6.71,21.11,2016,,
B0153+39,dtws85 ,0.55201023568,3,hlk+04 ,-1.79,3.16,11.81,1985,96.43,
B0154+61,dls72 ,0.425216180759,11,hlk+04 ,0.01,1.06,9.40,1972,12.56,3.67
J0158+21,dsm+13 ,1.979022,0,dsm+13 ,-0.99,0.73,9.48,2013,,
